C1:1
C10:1
C11:1
C3:1
C4:1
C8:1
C9:1
D1:1
D2:1
D4:1
G***:6
J1:1
J10:1
J11:1
J2:1
J4:1
J5:1
J6:1
J7:1
J8:1
J9:1
JP1:1
Q1:1
Q2:1
Q3:1
R1:1
R2:1
R3:1
R4:1
R5:1
R6:1
U1:1
U2:1
U3:1
U5:1
U6:1
